"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
inj_loc_centre_okola,ctr_page_2,,dropdown,"In which health area of the Okola health district (Centre Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Okola (région de santé - Centre) le traumatisme est il survenu?","1, Ebougsi | 2, Ekekam 3 | 3, Elig eyeng | 4, Lobo | 5, Mva'a | 6, Mvoua | 7, Ngoya | 8, Nkolpoblo | 9, Nlong | 10, Okola | 11, Voua 2 | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""2"" and [injurydistrict_centre] = ""27""",,,,,," @HIDDEN"
inj_loc_centre_saa,ctr_page_2,,dropdown,"In which health area of the Sa'a health district (Centre Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Sa'a (région de santé - Centre) le traumatisme est il survenu?","1, Lebamzip | 2, Lepopomo | 3, Ndong elang | 4, Nkolang | 5, Nkolbobo | 6, Nkolmgbana | 7, Nkolvak | 8, Nlong onambele | 9, Ondondo | 10, Sa'a | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""2"" and [injurydistrict_centre] = ""28""",,,,,," @HIDDEN"
inj_loc_centre_soa,ctr_page_2,,dropdown,"In which health area of the Soa health district (Centre Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Soa (région de santé - Centre) le traumatisme est il survenu?","1, Ebang | 2, Koulou | 3, Ngali 2 | 4, Ntouessong | 5, Soa | 6, Ting melen | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""2"" and [injurydistrict_centre] = ""29""",,,,,," @HIDDEN"
inj_loc_centre_yoko,ctr_page_2,,dropdown,"In which health area of the Yoko health district (Centre Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Yoko (région de santé - Centre) le traumatisme est il survenu?","1, Doume | 2, Linte | 3, Makouri | 4, Mankim | 5, Nditam | 6, Ndjole | 7, Ngambe-tikar | 8, Yoko | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""2"" and [injurydistrict_centre] = ""30""",,,,,," @HIDDEN"
injurydistrict_est,ctr_page_2,,dropdown,"In which health district (East Region) did the injury occur? 

Dans quel district de santé (Région de l'Est) le traumatisme est il survenu?","1, Abong Mbang | 2, Batouri | 3, Bertoua | 4, Betare Oya | 5, Doume | 6, Garoua Boulai | 7, Kette | 8, Lomie | 9, Mbang | 10, Messamena | 11, Moloundou | 12, Ndélélé | 13, Nguelemendouka | 14, Yokadouma | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3""",,,,,," @HIDDEN"
inj_loc_est_abongmbang,ctr_page_2,,dropdown,"In which health area of the Abong Mbang health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Abong Mbang (région de santé - Est) le traumatisme est il survenu?","1, Abong Mbang Nord | 2, Abong Mbang Sud | 3, Angossas | 4, Ankoung | 5, Atok | 6, Mbomba | 7, Mindourou | 8, Nkouak | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""1""",,,,,," @HIDDEN"
inj_loc_est_batouri,ctr_page_2,,dropdown,"In which health area of the Batouri health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Batouri (région de santé - Est) le traumatisme est il survenu?","1, Bandongoue | 2, Batouri Centre 1 | 3, Batouri Centre 2 | 4, Batouri Nord 1 | 5, Batouri Nord 2 | 6, Batouri Ouest 1 | 7, Batouri Ouest 2 | 8, Batouri Sud | 9, Belita 2 | 10, Dem 2 Kambele | 11, Gadji | 12, Gounte | 13, Kamba Mieri | 14, Mbendissola | 15, Mbounou | 16, Ndjassi | 17, Nguelebok | 18, Tapare | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""2""",,,,,," @HIDDEN"
inj_loc_est_bertoua,ctr_page_2,,dropdown,"In which health area of the Bertoua health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Bertoua (région de santé - Est) le traumatisme est il survenu?","1, Bazzama | 2, Belabo | 3, Bombi | 4, Deng Deng | 5, Diang | 6, Enia | 7, Grand Mboulaye | 8, Mandjou | 9, Mbethen | 10, Mokolo 1 | 11, Mokolo 4 | 12, Moundi | 13, Ndemba 1 | 14, Ndouan | 15, Nkolbikon | 16, Radio | 17, Tigaza | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""3""",,,,,," @HIDDEN"
inj_loc_est_betareoya,ctr_page_2,,dropdown,"In which health area of the Bétaré Oya health district (East Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Bétaré Oya (région de santé - Est) le traumatisme est il survenu?","1, Bétaré Oya | 2, Dang Patou | 3, Mbitom | 4, Ngoura | 5, Tongo Gadima | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""4""",,,,,," @HIDDEN"
inj_loc_est_doume,ctr_page_2,,dropdown,"In which health area of the Doume health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Doume (région de santé - Est) le traumatisme est il survenu?","1, Bayong | 2, Dimako Nord | 3, Dimako Sud | 4, Doume 1 | 5, Doume 2 | 6, Goumbegeron | 7, Motcheboum | 8, Ngandame | 9, Ngomdouma | 10, Nkoum | 11, Petit Pol | 12, Seguelendom | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""5""",,,,,," @HIDDEN"
inj_loc_est_garouaboulai,ctr_page_2,,dropdown,"In which health area of the Garoua Boulaï health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Garoua Boulaï (région de santé - Est) le traumatisme est il survenu?","1, Bindimba | 2, Gado Badjere | 3, Garoua Boulai | 4, Nandoungue | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""6""",,,,,," @HIDDEN"
inj_loc_est_kette,ctr_page_2,,dropdown,"In which health area of the Kette health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Kette (région de santé - Est) le traumatisme est il survenu?","1, Bedobo | 2, Bengue Tiko | 3, Boubara | 4, Gbiti | 5, Kette | 6, Lala | 7, Ouli | 8, Oundjiki | 9, Timangolo | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""7""",,,,,," @HIDDEN"
inj_loc_est_lomie,ctr_page_2,,dropdown,"In which health area of the Lomie health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Lomie (région de santé - Est) le traumatisme est il survenu?","1, Lomie | 2, Messok | 3, Ngoyla | 4, Zoulabot 1 | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""8""",,,,,," @HIDDEN"
inj_loc_est_mbang,ctr_page_2,,dropdown,"In which health area of the Mbang health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Mbang (région de santé - Est) le traumatisme est il survenu?","1, Atsieck | 2, Bimba | 3, Djampiel | 4, Kagnol 1 | 5, Lila | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""9""",,,,,," @HIDDEN"
inj_loc_est_messamena,ctr_page_2,,dropdown,"In which health area of the Messamena health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Messamena (région de santé - Est) le traumatisme est il survenu?","1, Bidjombo | 2, Dimpam | 3, Doumo Mama | 4, Messamena | 5, Ngoulemakong | 6, Somalomo | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""10""",,,,,," @HIDDEN"
inj_loc_est_moloundou,ctr_page_2,,dropdown,"In which health area of the Moloundou health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Moloundou (région de santé - Est) le traumatisme est il survenu?","1, Mikel | 2, Moloundou | 3, Ndongo/Adjala | 4, Nguilili | 5, Salapoumbe | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""11""",,,,,," @HIDDEN"
inj_loc_est_ndelele,ctr_page_2,,dropdown,"In which health area of the Ndélélé health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Ndélélé (région de santé - Est) le traumatisme est il survenu?","1, Kentzou | 2, Lolo | 3, Mbondoua | 4, Mindourou | 5, Ndélélé | 6, Ngotto | 7, Pana | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""12""",,,,,," @HIDDEN"
inj_loc_est_nguelemendouka,ctr_page_2,,dropdown,"In which health area of the Nguelemendouka health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Nguelemendouka (région de santé - Est) le traumatisme est il survenu?","1, Azomekout | 2, Bika | 3, Ngoap | 4, Nguelemendouka HD | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""13""",,,,,," @HIDDEN"
inj_loc_est_yokadouma,ctr_page_2,,dropdown,"In which health area of the Yokadouma health district (East Region) did the injury occur? 

Dans quelle aire de santé du district de santé Yokadouma (région de santé - Est) le traumatisme est il survenu?","1, Gari Gombo | 2, Gribi | 3, Massea | 4, Moampack | 5, Momdjepom | 6, Ngatto | 7, Ngolla 35 | 8, Yokadouma Nord | 9, Yokadouma Sud | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""3"" and [injurydistrict_est] = ""14""",,,,,," @HIDDEN"
injurydistrict_extremenord,ctr_page_2,,dropdown,"In which health district (Extreme North Region) did the injury occur? 

Dans quel district de santé (Région de l'Extrême Nord) le traumatisme est il survenu?","1, Bogo | 2, Bourha | 3, Gazawa | 4, Goulfey | 5, Guere | 6, Guidiguis | 7, Hina | 8, Kaele | 9, Kar Hay | 10, Kolofata | 11, Kousseri | 12, Koza | 13, Mada | 14, Maga | 15, Makary | 16, Maroua 1 | 17, Maroua 2 | 18, Maroua 3 | 19, Meri | 20, Mindif | 21, Mogode | 22, Mokolo | 23, Mora | 24, Moulvoudaye | 25, Moutourwa | 26, Pette | 27, Roua | 28, Tokombéré | 29, Vele | 30, Yagoua | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4""",,,,,," @HIDDEN"
inj_loc_extnord_bogo,ctr_page_2,,dropdown,"In which health area of the Bogo health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Bogo (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Balaza | 2, Balda | 3, Bogo | 4, Borai | 5, Guingley | 6, Madaka | 7, Sedek | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""1""",,,,,," @HIDDEN"
inj_loc_extnord_bourha,ctr_page_2,,dropdown,"In which health area of the Bourha health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Bourha (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Boukoula | 2, Bourha | 3, Gamboura | 4, Guili 1 | 5, Guili 2 | 6, Mbola | 7, Oudda | 8, Tchevi | 9, Teleki | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""2""",,,,,," @HIDDEN"
inj_loc_extnord_gazawa,ctr_page_2,,dropdown,"In which health area of the Gazawa health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Gazawa (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Dagai | 2, Damai | 3, Gawel | 4, Gazawa | 5, Loulou | 6, Massakal | 7, Ndoukoula | 8, Zongoya | 9, Zouvoul | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""3""",,,,,," @HIDDEN"
inj_loc_extnord_goulfey,ctr_page_2,,dropdown,"In which health area of the Goulfey health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Goulfey (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Afadé | 2, Amdjagara | 3, Biamo | 4, Gana | 5, Goulfey | 6, Hilele | 7, Maltam | 8, Mara | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""4""",,,,,," @HIDDEN"
inj_loc_extnord_guere,ctr_page_2,,dropdown,"In which health area of the Gueré health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Gueré (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Bagana | 2, Djougoumta | 3, Dompya | 4, Gobo | 5, Guibi | 6, Nouldaina | 7, Polgue | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""5""",,,,,," @HIDDEN"
inj_loc_extnord_guidiguis,ctr_page_2,,dropdown,"In which health area of the Guidiguis health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Guidiguis (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Barlang | 2, Bizili | 3, Dongrosse | 4, Doubane | 5, Dziguilao 1 | 6, Dziguilao 2 | 7, Golonghini | 8, Goundaye | 9, Guego | 10, Guereme | 11, Guidiguis | 12, Guirling | 13, Horlong | 14, Kabla | 15, Kofide | 16, Kourbi | 17, Tchatibali | 18, Touloum | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""6""",,,,,," @HIDDEN"
inj_loc_extnord_hina,ctr_page_2,,dropdown,"In which health area of the Hina health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Hina (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Bering | 2, Dagai | 3, Gamdougoum | 4, Gawar | 5, Hina | 6, Ounangare Dimeo | 7, Tchamahe | 8, Zidim | 9, Zouvoul | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""7""",,,,,," @HIDDEN"
inj_loc_extnord_kaele,ctr_page_2,,dropdown,"In which health area of the Kaele health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Kaele (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Bipaing | 2, Boboyo | 3, Djidoma | 4, Doumrou | 5, Gaban | 6, Gadas | 7, Garey | 8, Going | 9, Kaele | 10, Lara | 11, Mapoussere | 12, Midjivin | 13, Mindjil | 14, Moubare | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""8""",,,,,," @HIDDEN"
inj_loc_extnord_karhay,ctr_page_2,,dropdown,"In which health area of the Kar Hay health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Kar Hay (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Barlang | 2, Datcheka | 3, Doukoula 1 | 4, Doukoula 2 | 5, Gane | 6, Going - Tala | 7, Guissia | 8, Hougno | 9, Kada | 10, Mogom | 11, Oulargo | 12, Tchatibali | 13, Werfeo | 14, Zoufaye | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""9""",,,,,," @HIDDEN"
inj_loc_extnord_kolofata,ctr_page_2,,dropdown,"In which health area of the Kolofata health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Kolofata (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Amchide | 2, Gujimdele | 3, Kerawa | 4, Kolofata | 5, Kouyape | 6, Limani | 7, Oudjilla | 8, Tolkomari | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""10""",,,,,," @HIDDEN"
inj_loc_extnord_kousseri,ctr_page_2,,dropdown,"In which health area of the Kousseri health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Kousseri (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Amchidire | 2, Dabanga | 3, Hile Haoussa | 4, Holoum | 5, Kalakafra | 6, Madana | 7, Madiako | 8, Mazera | 9, Ndjagare | 10, Ngodeni | 11, Pagui | 12, Parpar | 13, Zimado | 14, Zina | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""11""",,,,,," @HIDDEN"
inj_loc_extnord_koza,ctr_page_2,,dropdown,"In which health area of the Koza health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Koza (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Assighassia | 2, Djingliya | 3, Gaboua | 4, Goldavi | 5, Gouzda Vreket | 6, Gouzda Wayam | 7, Hirche | 8, Koza 1 | 9, Koza 2 | 10, M'tskar | 11, Moskota | 12, Mozogo | 13, Ndouvgui Kilda | 14, Nghethewe | 15, Ouzal | 16, Zheleved | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""12""",,,,,," @HIDDEN"
inj_loc_extnord_mada,ctr_page_2,,dropdown,"In which health area of the Mada health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Mada (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Bargaram | 2, Blangoua | 3, Blaram | 4, Darak | 5, Hile Alifa | 6, Kobro | 7, Kofia | 8, Mada | 9, Naga | 10, Tchika | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""13""",,,,,," @HIDDEN"
inj_loc_extnord_maga,ctr_page_2,,dropdown,"In which health area of the Maga health district (Extreme North Region) did the injury occur? 

Dans quelle aire de santé du district de santé Maga (région de santé - Extrême Nord) le traumatisme est il survenu?","1, Guirvidig | 2, Maga | 3, Mazera | 4, Pouss | 5, Tekele | 6, Zina | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""4"" and [injurydistrict_extremenord] = ""14""",,,,,," @HIDDEN"
